text,label
আপনার ₹11246 টাকার বিদ্যুৎ বিল 28/09/2026 তারিখে পরিশোধ হয়েছে।,SAFE
"Dear customer, your bank account ending 5632 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://verify-1858.xyz. Contact support 9759998628.",LIKELY_SCAM
"Dear customer, your bank account ending 7398 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://verify-5214.site. Contact support 9326178582.",LIKELY_SCAM
உங்கள் ₹74462 மின்சார கட்டணம் 14/01/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
Your electricity bill of ₹62870 has been paid successfully on 25/09/2026. Transaction ID 32557632.,SAFE
Your package is delayed due to address issues. Track status here http://secure-3419.click.,SUSPICIOUS
Customer care tried to reach you regarding your account. Please call back 9411761248.,SUSPICIOUS
Your electricity bill of ₹81392 has been paid successfully on 18/08/2026. Transaction ID 55088403.,SAFE
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
Customer care tried to reach you regarding your account. Please call back 9739566159.,SUSPICIOUS
Limited time update required to continue services. Click http://update-3890.online.,SUSPICIOUS
உங்கள் ₹76027 மின்சார கட்டணம் 18/08/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://update-2330.online এ যাচাই করুন। সহায়তা নম্বর 9147837056",LIKELY_SCAM
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
Your package is delayed due to address issues. Track status here http://verify-2166.site.,SUSPICIOUS
உங்கள் ₹30750 மின்சார கட்டணம் 21/03/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 15/02/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://refund-6753.live पर सत्यापन करें। सहायता: 9426129868",LIKELY_SCAM
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
Your package is delayed due to address issues. Track status here http://update-0158.xyz.,SUSPICIOUS
உங்கள் ₹1328 மின்சார கட்டணம் 25/05/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
உங்கள் ₹50830 மின்சார கட்டணம் 13/01/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
Customer care tried to reach you regarding your account. Please call back 9610540528.,SUSPICIOUS
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://update-3326.live மூலம் சரிபார்க்கவும். உதவி: 9218786337",LIKELY_SCAM
আপনার ₹33765 টাকার বিদ্যুৎ বিল 17/03/2026 তারিখে পরিশোধ হয়েছে।,SAFE
"Dear user, aapke account me unusual activity detect hui hai. Account ko block hone se bachane ke liye turant OTP bheje ya http://secure-1532.click open kare.",LIKELY_SCAM
"Dear customer, your bank account ending 3280 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://kyc-6536.online. Contact support 9791450340.",LIKELY_SCAM
உங்கள் ₹60837 மின்சார கட்டணம் 27/08/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
Your package is delayed due to address issues. Track status here http://kyc-7432.click.,SUSPICIOUS
आपका ₹50047 का बिजली बिल 26/05/2026 को सफलतापूर्वक भुगतान हो गया है।,SAFE
"Dear customer, your bank account ending 1835 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://update-8369.xyz. Contact support 9210506295.",LIKELY_SCAM
Your electricity bill of ₹45572 has been paid successfully on 10/01/2026. Transaction ID 00157225.,SAFE
Your electricity bill of ₹21186 has been paid successfully on 14/06/2026. Transaction ID 28631921.,SAFE
আপনার ₹17653 টাকার বিদ্যুৎ বিল 17/05/2026 তারিখে পরিশোধ হয়েছে।,SAFE
"Dear customer, your bank account ending 9378 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://kyc-3951.xyz. Contact support 9953203567.",LIKELY_SCAM
